Row Labels,Total,Gross Income
2019-01-01,4745.181,225.961
2019-01-02,1945.503,92.643
2019-01-03,2078.1285,98.9585
2019-01-04,1623.6885,77.3185
2019-01-05,3536.6835,168.4135
2019-01-06,3614.205,172.105
2019-01-07,2834.244,134.964
2019-01-08,5293.7325,252.0825
2019-01-09,3021.3435,143.8735
2019-01-10,3560.949,169.569
2019-01-11,2114.9625,100.7125
2019-01-12,5184.7635,246.8935
2019-01-13,2451.204,116.724
2019-01-14,3966.6165,188.8865
2019-01-15,5944.26,283.06
2019-01-16,4289.082,204.242
2019-01-17,3142.755,149.655
2019-01-18,2780.4735,132.4035
2019-01-19,4914.7245,234.0345
2019-01-20,3655.449,174.069
2019-01-21,2392.0995,113.9095
2019-01-22,1704.7695,81.1795
2019-01-23,5994.1875,285.4375
2019-01-24,5402.0505,257.2405
2019-01-25,4700.367,223.827
2019-01-26,4457.5125,212.2625
2019-01-27,4635.897,220.757
2019-01-28,4999.7115,238.0815
2019-01-29,3516.5655,167.4555
2019-01-30,2558.262,121.822
2019-01-31,5232.4965,249.1665
2019-02-01,2444.5365,116.4065
2019-02-02,4140.948,197.188
2019-02-03,5467.9275,260.3775
2019-02-04,2439.4965,116.1665
2019-02-05,3031.1295,144.3395
2019-02-06,2905.4235,138.3535
2019-02-07,7228.2105,344.2005
2019-02-08,5084.6565,242.1265
2019-02-09,3271.8945,155.8045
2019-02-10,3141.0225,149.5725
2019-02-11,4542.153,216.293
2019-02-12,2998.989,142.809
2019-02-13,934.2375,44.4875
2019-02-14,2454.0915,116.8615
2019-02-15,6830.7855,325.2755
2019-02-16,2503.767,119.227
2019-02-17,5299.5705,252.3605
2019-02-18,1496.0295,71.2395
2019-02-19,4228.119,201.339
2019-02-20,2706.417,128.877
2019-02-21,1393.7385,66.3685
2019-02-22,2442.3105,116.3005
2019-02-23,2339.589,111.409
2019-02-24,2722.461,129.641
2019-02-25,4807.236,228.916
2019-02-26,2408.1645,114.6745
2019-02-27,5859.4515,279.0215
2019-02-28,2097.018,99.858
2019-03-01,2634.366,125.446
2019-03-02,6560.3055,312.3955
2019-03-03,4853.1735,231.1035
2019-03-04,3894.4395,185.4495
2019-03-05,6230.8785,296.7085
2019-03-06,3092.5965,147.2665
2019-03-07,1438.2585,68.4885
2019-03-08,3125.388,148.828
2019-03-09,7474.047,355.907
2019-03-10,3163.23,150.63
2019-03-11,2961.252,141.012
2019-03-12,3677.5515,175.1215
2019-03-13,2063.607,98.267
2019-03-14,7214.634,343.554
2019-03-15,2942.415,140.115
2019-03-16,3154.473,150.213
2019-03-17,1976.289,94.109
2019-03-18,1292.8335,61.5635
2019-03-19,5740.392,273.352
2019-03-20,5458.2045,259.9145
2019-03-21,1877.5155,89.4055
2019-03-22,3179.148,151.388
2019-03-23,4095.042,195.002
2019-03-24,3477.4635,165.5935
2019-03-25,2272.9665,108.2365
2019-03-26,1962.513,93.453
2019-03-27,2902.8195,138.2295
2019-03-28,2229.402,106.162
2019-03-29,4023.243,191.583
2019-03-30,4487.0595,213.6695
2020-01-01,457.443,21.783
2020-01-15,590.436,28.116
2020-01-21,172.2105,8.2005
2020-02-07,1202.985,57.285
2020-02-08,35.196,1.676
2020-02-12,246.4875,11.7375
2020-02-17,181.44,8.64
2020-02-25,451.71,21.51
2020-03-02,279.1845,13.2945
2020-03-05,277.137,13.197
2020-03-09,107.142,5.102
2020-03-11,591.2655,28.1555
2020-03-15,69.72,3.32
2020-03-22,441.756,21.036
Grand Total,328070.862,15622.422
